ID,ID_Competencia,Nome,Descricao,Ordem,Ativo,Data_Criacao,Data_Atualizacao,Observacoes
NIV001,COM001,Iniciante,"Conceito de processo, tipos (operacional, gerencial, suporte), ciclo PDCA, visão sistêmica",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: —. Origem: linha 2 do HEATMAP.
NIV002,COM002,Iniciante,"Elementos básicos: eventos, atividades, gateways, pools, lanes, fluxos de sequência e mensagem",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: Introdução a BPM. Origem: linha 3 do HEATMAP.
NIV003,COM003,Iniciante,"Técnicas de levantamento (entrevistas, observação, shadowing), documentação do estado atual",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 15h. Pré-requisito: BPMN 2.0. Origem: linha 4 do HEATMAP.
NIV004,COM004,Intermediário,"Redesenho de processos, identificação de oportunidades, análise de valor agregado",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: Mapeamento As-Is. Origem: linha 5 do HEATMAP.
NIV005,COM005,Iniciante,"8 desperdícios (TIMWOODS), fluxo de valor, just-in-time, kaizen, 5S",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: Introdução a BPM. Origem: linha 6 do HEATMAP.
NIV006,COM006,Intermediário,"DMAIC, ferramentas estatísticas básicas (histograma, diagrama de causa e efeito, pareto)",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 40h. Pré-requisito: Lean Thinking. Origem: linha 7 do HEATMAP.
NIV007,COM007,Especialista,"DOE, análise de regressão, controle estatístico de processo (CEP), DFSS",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 80h. Pré-requisito: Green Belt. Origem: linha 8 do HEATMAP.
NIV008,COM008,Iniciante,"Estrutura de procedimento operacional padrão, padronização, versionamento de documentos",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 10h. Pré-requisito: BPMN 2.0. Origem: linha 9 do HEATMAP.
NIV009,COM009,Iniciante,"Definição de papéis (Responsible, Accountable, Consulted, Informed), aplicação em projetos e processos",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 10h. Pré-requisito: Introdução a BPM. Origem: linha 10 do HEATMAP.
NIV010,COM010,Intermediário,"ABPMP BPM CBOK, modelos de maturidade (CMMI, OMG BPMM), avaliação e evolução de capacidades",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: Mapeamento To-Be. Origem: linha 11 do HEATMAP.
NIV011,COM011,Intermediário,"Papel e estrutura do BPMO, funções de governança, portfólio de processos, modelo operacional do escritório",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: ABPMP CBOK. Origem: linha 12 do HEATMAP.
NIV012,COM012,Intermediário,"Auditoria interna de processos, conformidade regulatória, controles internos (COSO), evidências de execução",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: SOPs + RACI. Origem: linha 13 do HEATMAP.
NIV013,COM013,Especialista,"Níveis de maturidade CMMI-DEV e OMG BPMM, avaliação SCAMPI, roadmap de evolução, benchmarking",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: Escritório de Processos. Origem: linha 14 do HEATMAP.
NIV014,COM014,Intermediário,"Mapeamento de dados pessoais em fluxos de processo, adequação de SOPs à LGPD, RIPD (Relatório de Impacto)",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 15h. Pré-requisito: SOPs + Mapeamento As-Is. Origem: linha 15 do HEATMAP.
NIV015,COM015,Intermediário,"Diferença entre gestão funcional e por processos, escritório de processos (BPMO), KPIs de processo",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: ABPMP CBOK. Origem: linha 16 do HEATMAP.
NIV016,COM016,Especialista,"Hierarquia de processos, cadeia de valor de Porter, alinhamento estratégico, EPC (Enterprise Process Chain)",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: Gestão por processos. Origem: linha 17 do HEATMAP.
NIV017,COM017,Intermediário,"Conceitos de automação robótica, diferença RPA vs integração, casos de uso em BI",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: SOPs. Origem: linha 18 do HEATMAP.
NIV018,COM018,Especialista,"Descoberta de processos a partir de logs, conformidade, análise de desvios, ferramentas Celonis / UiPath Process Mining",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: Mapeamento As-Is + SQL básico. Origem: linha 19 do HEATMAP.
NIV019,COM019,Iniciante,"Cliente-servidor, APIs REST, microsserviços, monolito, SaaS/PaaS/IaaS, bancos de dados relacionais vs NoSQL",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: —. Origem: linha 20 do HEATMAP.
NIV020,COM020,Iniciante,"TCP/IP, HTTP/HTTPS, firewall, VPN, autenticação, conceitos de criptografia",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 15h. Pré-requisito: Arquitetura de sistemas. Origem: linha 21 do HEATMAP.
NIV021,COM021,Iniciante,"Módulos (FI, MM, SD, HR), integração entre módulos, master data, transações e relatórios",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: Arquitetura de sistemas. Origem: linha 22 do HEATMAP.
NIV022,COM022,Intermediário,"Customizing, papéis e autorizações, tabelas de configuração, extração de dados para BI",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 40h. Pré-requisito: Fundamentos de ERP. Origem: linha 23 do HEATMAP.
NIV023,COM023,Iniciante,"Método HTTP, JSON, autenticação OAuth2/API Key, ferramentas Postman e Insomnia",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 15h. Pré-requisito: Fundamentos de TI. Origem: linha 24 do HEATMAP.
NIV024,COM024,Intermediário,"Padrões de integração (EAI, ESB, iPaaS), ferramentas de integração (MuleSoft, Azure Integration), visão de ETL",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: APIs REST. Origem: linha 25 do HEATMAP.
NIV025,COM025,Iniciante,"Modelos de serviço, regiões e zonas, armazenamento, IAM, custo e billing",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: Fundamentos de TI. Origem: linha 26 do HEATMAP.
NIV026,COM026,Intermediário,"Data Lake, Data Warehouse gerenciado (Synapse, Redshift, BigQuery), Blob Storage, pipelines cloud-native",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: Fundamentos de Cloud. Origem: linha 27 do HEATMAP.
NIV027,COM027,Especialista,"Well-Architected Framework, FinOps, alta disponibilidade, disaster recovery, arquitetura Lakehouse",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 50h. Pré-requisito: Serviços de dados em Cloud. Origem: linha 28 do HEATMAP.
NIV028,COM028,Iniciante,"Tríade CIA (Confidencialidade, Integridade, Disponibilidade), ameaças comuns, controles preventivos e detectivos",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 15h. Pré-requisito: Fundamentos de TI. Origem: linha 29 do HEATMAP.
NIV029,COM029,Intermediário,"IAM, RBAC, zero trust, princípio do menor privilégio, segmentação de rede, autenticação multifator (MFA)",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: Segurança fundamentos. Origem: linha 30 do HEATMAP.
NIV030,COM030,Intermediário,"Estrutura da norma, controles Anexo A, SGSI (Sistema de Gestão de Segurança da Informação), ciclo PDCA, análise de riscos",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: Arquitetura segura. Origem: linha 31 do HEATMAP.
NIV031,COM031,Intermediário,"Bases legais, controle de acesso a dados pessoais, logs de auditoria, privacidade by design, papel do DPO em TI",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 15h. Pré-requisito: ISO 27001 + Arquitetura segura. Origem: linha 32 do HEATMAP.
NIV032,COM032,Intermediário,"RLS em Power BI e bancos de dados, mascaramento dinâmico (SQL Server, Synapse), anonimização em pipelines",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 15h. Pré-requisito: LGPD sistemas + Power BI intermediário. Origem: linha 33 do HEATMAP.
NIV033,COM033,Iniciante,"Grupos de processos, áreas de conhecimento, termo de abertura, EAP, cronograma, risco",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: —. Origem: linha 34 do HEATMAP.
NIV034,COM034,Iniciante,"Sprints, cerimônias, product backlog, papéis (PO, SM, Dev Team), quadro Kanban, WIP limits",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: Fundamentos de projetos. Origem: linha 35 do HEATMAP.
NIV035,COM035,Intermediário,"Adaptação de Scrum para projetos analíticos, critérios de aceitação de dashboards, gestão de stakeholders em BI",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: Scrum + Fundamentos de BI. Origem: linha 36 do HEATMAP.
NIV036,COM036,Iniciante,"Conceito de serviço, práticas ITIL (incident, change, problem management), cadeia de valor de serviço",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: Fundamentos de TI. Origem: linha 37 do HEATMAP.
NIV037,COM037,Especialista,"Framework COBIT 2019, alinhamento TI-negócio, métricas de governança, auditoria de TI",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: ITIL 4. Origem: linha 38 do HEATMAP.
NIV038,COM038,Iniciante,"SELECT, FROM, WHERE, ORDER BY, GROUP BY, HAVING, funções de agregação (SUM, COUNT, AVG)",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: —. Origem: linha 39 do HEATMAP.
NIV039,COM039,Intermediário,"JOINs, subqueries, CTEs (WITH), window functions (RANK, ROW_NUMBER, LAG/LEAD), índices",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: SQL básico. Origem: linha 40 do HEATMAP.
NIV040,COM040,Especialista,"Execution plan, query optimization, particionamento, materialização de views, SQL em Snowflake/BigQuery",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: SQL intermediário. Origem: linha 41 do HEATMAP.
NIV041,COM041,Iniciante,"Variáveis, listas, dicionários, loops, funções, leitura de arquivos CSV/Excel",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: —. Origem: linha 42 do HEATMAP.
NIV042,COM042,Intermediário,"DataFrames, filtros, groupby, merge, pivot_table, limpeza e transformação de dados",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: Python básico. Origem: linha 43 do HEATMAP.
NIV043,COM043,Intermediário,"Matplotlib, Seaborn, Plotly, automação de relatórios, integração com APIs e bancos de dados",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: Pandas. Origem: linha 44 do HEATMAP.
NIV044,COM044,Especialista,"Regressão, classificação, clustering, Scikit-learn, modelos preditivos para BI e forecasting",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 80h. Pré-requisito: Pandas + Estatística. Origem: linha 45 do HEATMAP.
NIV045,COM045,Iniciante,"Importação de dados, relacionamentos, visuais básicos, publicação no serviço",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: —. Origem: linha 46 do HEATMAP.
NIV046,COM046,Intermediário,"Medidas vs colunas calculadas, contexto de filtro e linha, CALCULATE, FILTER, ALL, RELATED, time intelligence",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 40h. Pré-requisito: Power BI Desktop. Origem: linha 47 do HEATMAP.
NIV047,COM047,Especialista,"Composite models, DirectQuery vs Import, incremental refresh, Row-Level Security, deployment pipelines, Premium",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: DAX intermediário. Origem: linha 48 do HEATMAP.
NIV048,COM048,Iniciante,"Hierarquia visual, proporção, contraste, tipos de gráfico por finalidade (comparação, distribuição, composição, relacionamento), erros comuns",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: —. Origem: linha 49 do HEATMAP.
NIV049,COM049,Intermediário,"Estrutura narrativa para dashboards, contexto e insight, clareza vs densidade, design de relatórios executivos",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: Princípios de design visual. Origem: linha 50 do HEATMAP.
NIV050,COM050,Intermediário,"Tableau Desktop: dimensions vs measures, calculated fields, LOD expressions, dashboards interativos; Looker: LookML, explores",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 35h. Pré-requisito: Storytelling com dados + SQL básico. Origem: linha 51 do HEATMAP.
NIV051,COM051,Especialista,"Dashboards de C-level, scorecard vs operational dashboard, design orientado a decisão, acessibilidade, revisão crítica de visuais",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: Storytelling + Power BI ou Tableau intermediário. Origem: linha 52 do HEATMAP.
NIV052,COM052,Iniciante,"Fatos e dimensões, granularidade, chaves surrogate, hierarquias, Star Schema vs Snowflake",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: SQL básico. Origem: linha 53 do HEATMAP.
NIV053,COM053,Intermediário,"SCDs (Slowly Changing Dimensions), Bridge tables, factless fact tables, dimensões conformadas",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: Modelagem básica. Origem: linha 54 do HEATMAP.
NIV054,COM054,Intermediário,"Camadas (Raw, Trusted, Refined/Gold), ODS, staging, data mart, Inmon vs Kimball",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: Modelagem dimensional. Origem: linha 55 do HEATMAP.
NIV055,COM055,Especialista,"Delta Lake, Apache Iceberg, Databricks, separação storage/compute, Data Mesh e domínios de dados",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 40h. Pré-requisito: Arquitetura DW + Cloud. Origem: linha 56 do HEATMAP.
NIV056,COM056,Intermediário,"ETL vs ELT, orquestração com Airflow, dbt (data build tool), qualidade e testes de dados",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 50h. Pré-requisito: SQL intermediário + Python. Origem: linha 57 do HEATMAP.
NIV057,COM057,Especialista,"Spark, Kafka, streaming vs batch, arquitetura Lambda/Kappa, SLAs de dados",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 60h. Pré-requisito: Pipelines + Cloud. Origem: linha 58 do HEATMAP.
NIV058,COM058,Iniciante,"Data quality dimensions, master data management (MDM), catálogo de dados, glossário de negócios",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: —. Origem: linha 59 do HEATMAP.
NIV059,COM059,Intermediário,"Bases legais, direitos do titular, DPIA, anonimização e pseudonimização, papel do DPO, adequação em BI",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 15h. Pré-requisito: Governança básica. Origem: linha 60 do HEATMAP.
NIV060,COM060,Intermediário,"Controles de segurança para dados analíticos, classificação de dados, gestão de incidentes de dados, auditoria",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: LGPD dados + Segurança sistemas. Origem: linha 61 do HEATMAP.
NIV061,COM061,Especialista,"Ferramentas (Azure Purview, Atlan, OpenMetadata), catalogação ativa, lineage end-to-end, data stewardship",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: LGPD + Arquitetura DW. Origem: linha 62 do HEATMAP.
NIV062,COM062,Iniciante,"Média, mediana, moda, desvio padrão, distribuições, correlação, gráficos exploratórios",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: —. Origem: linha 63 do HEATMAP.
NIV063,COM063,Intermediário,"Testes de hipótese, intervalos de confiança, p-valor, regressão linear, ANOVA",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: Estatística descritiva. Origem: linha 64 do HEATMAP.
NIV064,COM064,Especialista,"Séries temporais (ARIMA, Prophet), análise de coorte, A/B testing, atribuição de marketing",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 40h. Pré-requisito: Estatística inferencial + Python. Origem: linha 65 do HEATMAP.
